Date,Region,Category,Sales,Profit,Customer_Rating,Returned
2025-02-25,West,Fashion,3249.0,713.5,4.5,No
2025-02-26,West,Fashion,6623.0,370.6,4.6,No
2025-02-27,North,Books,5748.0,579.74,4.4,No
2025-02-28,East,Electronics,4308.0,2346.34,4.3,Yes
2025-03-01,North,Grocery,8358.0,1649.94,3.3,No
2025-03-02,East,Grocery,8600.0,1364.24,3.7,No
2025-03-03,East,Books,4370.0,1694.21,3.9,No
2025-03-04,North,Grocery,3455.0,1173.83,3.0,No
2025-03-05,North,Electronics,2354.0,1865.59,4.0,No
2025-03-06,East,Books,5699.0,262.13,3.8,No
2025-03-07,South,Electronics,7495.0,1480.19,4.6,No
2025-03-08,West,Books,7397.0,522.82,5.0,Yes
2025-03-09,North,Books,2848.0,432.39,4.0,No
2025-03-10,West,Fashion,6739.0,953.42,3.5,No
2025-03-11,South,Electronics,5399.0,365.73,2.9,No
2025-03-12,South,Grocery,3757.0,371.27,4.8,No
2025-03-13,South,Grocery,6792.0,881.82,4.8,No
2025-03-14,North,Electronics,1298.0,2451.85,3.4,Yes
2025-03-15,South,Grocery,3400.0,562.03,4.3,No
2025-03-16,North,Grocery,4161.0,190.33,3.0,Yes
2025-03-17,South,Electronics,6173.0,1943.91,3.2,No
2025-03-18,West,Books,5633.0,2046.25,3.3,No
2025-03-19,West,Electronics,4069.0,963.82,3.4,No
2025-03-20,East,Books,2156.0,1241.98,5.0,No
2025-03-21,West,Grocery,6899.0,1676.97,4.3,No
2025-03-22,East,Grocery,8144.0,262.94,3.6,No
2025-03-23,West,Grocery,5693.0,2380.49,4.4,No
2025-03-24,North,Fashion,6111.0,2233.7,4.8,No
2025-03-25,West,Books,5187.0,763.1,4.9,Yes
2025-03-26,East,Fashion,7215.0,185.97,2.9,No
2025-03-27,East,Fashion,2418.0,2343.58,3.7,No
2025-03-28,South,Electronics,5696.0,1327.44,3.0,No
2025-03-29,North,Fashion,5935.0,1417.54,3.5,No
2025-03-30,West,Electronics,5755.0,1757.31,3.2,No
2025-03-31,South,Electronics,9250.0,1597.25,4.2,Yes
2025-04-01,West,Fashion,4646.0,2368.15,3.7,No
2025-04-02,West,Books,2245.0,2368.99,3.3,No
2025-04-03,South,Books,8093.0,2187.92,3.4,No
2025-04-04,South,Books,2893.0,1645.55,3.6,Yes
2025-04-05,South,Books,4636.0,2032.23,3.4,No
2025-04-06,South,Books,7095.0,1741.35,3.8,No
2025-04-07,South,Fashion,4554.0,1497.41,2.9,No
2025-04-08,West,Fashion,1425.0,451.98,3.4,No
2025-04-09,South,Grocery,6093.0,2056.33,3.7,Yes
2025-04-10,North,Books,8222.0,2078.5,4.1,No
2025-04-11,East,Fashion,6800.0,1620.96,3.4,No
2025-04-12,South,Grocery,9196.0,2078.0,3.1,No
2025-04-13,South,Books,8883.0,1680.99,3.0,No
2025-04-14,West,Electronics,5842.0,635.71,4.9,No
2025-04-15,South,Grocery,8879.0,793.81,3.7,No
2025-04-16,South,Fashion,9408.0,654.28,4.1,No
2025-04-17,South,Electronics,8539.0,1036.56,4.8,No
2025-04-18,West,Electronics,3405.0,241.56,3.0,No
2025-04-19,South,Electronics,2269.0,1602.9,4.7,No
2025-04-20,East,Grocery,4644.0,940.9,4.0,No
2025-04-21,West,Fashion,2260.0,1690.95,3.2,No
2025-04-22,East,Electronics,3527.0,1055.68,3.7,No
2025-04-23,West,Books,4620.0,1751.79,4.5,No
2025-04-24,South,Electronics,1501.0,950.47,3.9,No
2025-04-25,East,Electronics,1806.0,762.63,5.0,No
2025-04-26,West,Grocery,4370.0,1315.69,3.6,No
2025-04-27,North,Grocery,1899.0,1778.29,4.4,No
2025-04-28,South,Fashion,6288.0,968.59,3.7,No
2025-04-29,West,Books,1390.0,2351.12,4.6,No
2025-04-30,North,Grocery,2180.0,242.09,4.1,Yes
2025-05-01,West,Electronics,4175.0,1132.17,2.9,No
2025-05-02,North,Fashion,7302.0,2423.81,2.9,No
2025-05-03,South,Electronics,2384.0,1437.73,3.1,No
2025-05-04,East,Electronics,4527.0,1145.16,2.8,No
2025-05-05,North,Grocery,4594.0,1486.02,3.0,Yes
2025-05-06,West,Fashion,3016.0,1503.42,4.3,No
2025-05-07,South,Books,7054.0,1869.37,4.0,Yes
2025-05-08,North,Books,7909.0,450.07,4.4,No
2025-05-09,West,Grocery,1769.0,737.54,4.8,Yes
2025-05-10,West,Grocery,6642.0,1514.28,4.1,Yes
2025-05-11,West,Fashion,3095.0,2187.72,4.4,No
2025-05-12,North,Books,3933.0,1470.39,4.5,No
2025-05-13,North,Books,5063.0,710.7,3.6,No
2025-05-14,North,Books,8655.0,1747.64,3.3,No
2025-05-15,East,Electronics,5214.0,1888.79,3.3,No
2025-05-16,North,Books,2886.0,709.85,3.4,Yes
2025-05-17,North,Electronics,4209.0,1037.66,3.4,No
2025-05-18,North,Fashion,9006.0,1405.67,3.3,No
2025-05-19,East,Electronics,1354.0,1316.92,4.7,No
2025-05-20,North,Fashion,2609.0,1065.6,4.5,No
2025-01-04,East,Books,8480.0,1815.94,4.9,No
2025-01-13,East,Electronics,7728.0,606.54,4.1,No
